,region,trips,trips_per_hour
1073,1074,49699.0,66.88963660834455
1074,1075,102870.0,138.4522207267833
1075,1076,64581.0,86.91924629878869
1123,1124,49135.0,66.13055181695827
1124,1125,135328.0,182.1372812920592
1125,1126,198724.0,267.46164199192464
1126,1127,219755.0,295.7671601615074
1127,1128,252281.0,339.54374158815614
1128,1129,312948.0,421.1951547779273
1129,1130,107352.0,144.48452220726784
1130,1131,33144.0,44.60834454912517
1170,1171,4914.0,6.613728129205922
1171,1172,16625.0,22.37550471063257
1172,1173,19069.0,25.66487213997308
1173,1174,8320.0,11.197846567967698
1174,1175,15011.0,20.20323014804845
1175,1176,200241.0,269.5033647375505
1176,1177,310552.0,417.97039030955585
1177,1178,350575.0,471.8371467025572
1178,1179,400463.0,538.9811574697173
1179,1180,519623.0,699.3580080753701
1180,1181,301847.0,406.2543741588156
1181,1182,75859.0,102.09825033647375
1182,1183,14292.0,19.235531628532975
1219,1220,3752.0,5.049798115746972
1220,1221,7436.0,10.00807537012113
1221,1222,12319.0,16.58008075370121
1222,1223,18975.0,25.53835800807537
1223,1224,3991.0,5.371467025572005
1225,1226,120597.0,162.31090174966351
1226,1227,236281.0,318.0094212651413
1227,1228,312521.0,420.62045760430686
1228,1229,476106.0,640.7886944818304
1229,1230,489489.0,658.8008075370121
1230,1231,552503.0,743.6110363391656
1231,1232,394985.0,531.6083445491251
1232,1233,265118.0,356.82099596231495
1233,1234,114977.0,154.74697173620459
1270,1271,6106.0,8.218034993270525
1271,1272,8689.0,11.694481830417228
1272,1273,5322.0,7.162853297442799
1276,1277,10210.0,13.741588156123822
1277,1278,22324.0,30.045760430686407
1278,1279,131484.0,176.9636608344549
1279,1280,466663.0,628.0794078061912
1280,1281,638799.0,859.7563930013459
1281,1282,169744.0,228.45760430686406
1282,1283,65332.0,87.9300134589502
1283,1284,190596.0,256.5222072678331
1284,1285,162011.0,218.04979811574697
1285,1286,53158.0,71.54508748317632
1324,1325,16914.0,22.764468371467025
1325,1326,16751.0,22.545087483176314
1329,1330,33997.0,45.75639300134589
1330,1331,254092.0,341.98115746971735
1331,1332,367654.0,494.82368775235534
1332,1333,338480.0,455.5585464333782
1333,1334,76827.0,103.40107671601615
1334,1335,48784.0,65.65814266487214
1335,1336,57491.0,77.37685060565276
1336,1337,32403.0,43.611036339165544
1337,1338,7975.0,10.733512786002692
1374,1375,9210.0,12.395693135935398
1375,1376,6160.0,8.2907133243607
1376,1377,5244.0,7.057873485868102
1378,1379,5480.0,7.375504710632571
1380,1381,17336.0,23.332436069986542
1381,1382,178406.0,240.1157469717362
1382,1383,310246.0,417.5585464333782
1383,1384,172113.0,231.64602960969043
1384,1385,28383.0,38.200538358008075
1385,1386,21538.0,28.987886944818303
1386,1387,15764.0,21.216689098250338
1387,1388,10388.0,13.981157469717362
1388,1389,11146.0,15.001345895020188
1424,1425,4091.0,5.5060565275908475
1429,1430,13155.0,17.705248990578735
1432,1433,7113.0,9.573351278600269
1433,1434,6380.0,8.586810228802154
1434,1435,22784.0,30.66487213997308
1435,1436,22342.0,30.069986541049797
1436,1437,8170.0,10.995962314939435
1437,1438,5368.0,7.224764468371467
1439,1440,3781.0,5.0888290713324364
1440,1441,5252.0,7.06864064602961
1478,1479,7762.0,10.446837146702558
1480,1481,8229.0,11.075370121130552
1481,1482,8118.0,10.925975773889636
1528,1529,9032.0,12.156123822341858
1530,1531,5298.0,7.1305518169582776
1531,1532,7358.0,9.903095558546433
1578,1579,4063.0,5.468371467025572
1628,1629,3839.0,5.166890982503364
1682,1683,9459.0,12.730820995962315
1731,1732,4033.0,5.4279946164199195
1732,1733,159842.0,215.13055181695827
1781,1782,138681.0,186.650067294751
2066,2067,70722.0,95.18438761776581
2067,2068,7846.0,10.559892328398385
2116,2117,108989.0,146.6877523553163
2117,2118,25811.0,34.738896366083445
2166,2167,50988.0,68.62449528936743
